team_name,week,active_users,total_sessions,tokens_consumed,estimated_cost,top_use_cases
Commerce Core,W01,9,174,825514,$0.01,code review; test writing; documentation
Commerce Core,W02,9,166,786736,$0.01,test writing; debugging; code generation
Commerce Core,W03,10,219,1038728,$0.02,debugging; documentation; code review
Commerce Core,W04,11,219,1035570,$0.02,debugging; code review; documentation
Commerce Core,W05,10,206,974606,$0.01,documentation; architecture analysis; code generation
Commerce Core,W06,12,244,1156738,$0.02,code generation; debugging; architecture analysis
Commerce Core,W07,11,216,1023209,$0.02,code generation; debugging; code review
Commerce Core,W08,12,220,1043130,$0.02,code generation; debugging; code review
Commerce Core,W09,12,245,1157514,$0.02,architecture analysis; code review; documentation
Commerce Core,W10,12,278,1312901,$0.02,test writing; debugging; code review
Commerce Core,W11,12,285,1348476,$0.02,code generation; test writing; documentation
Commerce Core,W12,12,233,1103259,$0.02,debugging; code generation; test writing
Discovery,W01,7,155,748515,$0.01,documentation; code generation; debugging
Discovery,W02,8,148,710543,$0.01,code review; code generation; test writing
Discovery,W03,8,159,764296,$0.01,code review; architecture analysis; debugging
Discovery,W04,8,189,908538,$0.01,test writing; documentation; code review
Discovery,W05,9,179,862269,$0.01,code generation; test writing; code review
Discovery,W06,9,168,811116,$0.01,debugging; code review; documentation
Discovery,W07,9,207,994694,$0.01,debugging; code review; architecture analysis
Discovery,W08,9,169,815767,$0.01,code review; code generation; architecture analysis
Discovery,W09,9,168,811018,$0.01,architecture analysis; code review; debugging
Discovery,W10,9,197,949559,$0.01,debugging; test writing; documentation
Discovery,W11,9,229,1102859,$0.02,code review; code generation; architecture analysis
Discovery,W12,9,230,1105745,$0.02,debugging; code review; architecture analysis
Supply Chain,W01,4,88,387126,$0.01,documentation; debugging; code generation
Supply Chain,W02,5,90,397080,$0.01,code generation; documentation; debugging
Supply Chain,W03,5,78,341764,$0.01,code generation; debugging; documentation
Supply Chain,W04,5,96,422621,$0.01,documentation; debugging; code generation
Supply Chain,W05,5,93,410682,$0.01,debugging; documentation; code generation
Supply Chain,W06,5,85,374527,$0.01,documentation; code generation; debugging
Supply Chain,W07,5,86,377765,$0.01,documentation; debugging; code generation
Supply Chain,W08,6,87,384614,$0.01,debugging; code generation; documentation
