member_id,signup_date,cohort_month,total_orders,total_revenue,avg_aov,category_mix,membership_type,region,acquisition_channel,months_active
TM100001,2025-04-26,2025-04,12,680.72,56.73,Pantry:40.6|Snacks:12.9|Vitamins:9.5|Beauty:14.3|Fresh:3.4|Beverages:9.0|Household:10.4,Monthly,West,Organic,3
TM100002,2025-04-19,2025-04,13,757.29,58.25,Pantry:32.6|Snacks:21.4|Vitamins:9.8|Beauty:10.4|Fresh:4.1|Beverages:11.0|Household:10.6,Monthly,West,SEM,4
TM100003,2025-04-22,2025-04,3,209.19,69.73,Pantry:33.6|Snacks:16.9|Vitamins:17.3|Beauty:7.2|Fresh:1.9|Beverages:12.8|Household:10.2,Annual,Southeast,Organic,1
TM100004,2025-04-21,2025-04,11,743.09,67.55,Pantry:32.2|Snacks:17.4|Vitamins:10.7|Beauty:9.0|Fresh:6.0|Beverages:17.4|Household:7.4,Annual,West,Referral,3
TM100005,2025-04-26,2025-04,15,962.7,64.18,Pantry:34.2|Snacks:26.5|Vitamins:14.0|Beauty:7.1|Fresh:0.3|Beverages:7.4|Household:10.4,Monthly,Southeast,Referral,3
TM100006,2025-04-17,2025-04,11,628.25,57.11,Pantry:41.6|Snacks:16.1|Vitamins:10.0|Beauty:7.5|Fresh:0.0|Beverages:13.9|Household:10.8,Annual,Southwest,Influencer,3
TM100007,2025-04-01,2025-04,5,276.75,55.35,Pantry:32.2|Snacks:22.6|Vitamins:14.2|Beauty:15.1|Fresh:3.1|Beverages:5.9|Household:7.0,Annual,West,Influencer,1
TM100008,2025-04-21,2025-04,21,1391.85,66.28,Pantry:35.1|Snacks:14.0|Vitamins:13.5|Beauty:13.8|Fresh:1.1|Beverages:9.1|Household:13.4,Annual,Northeast,Organic,5
TM100009,2025-04-16,2025-04,14,782.29,55.88,Pantry:31.4|Snacks:15.5|Vitamins:16.5|Beauty:8.6|Fresh:0.8|Beverages:17.3|Household:9.8,Monthly,Midwest,Paid Social,4
TM100010,2025-04-28,2025-04,19,1179.64,62.09,Pantry:33.2|Snacks:18.3|Vitamins:12.5|Beauty:9.3|Fresh:1.5|Beverages:16.9|Household:8.3,Annual,Southwest,Organic,4
TM100011,2025-04-24,2025-04,11,658.57,59.87,Pantry:33.1|Snacks:12.1|Vitamins:12.2|Beauty:17.2|Fresh:4.7|Beverages:9.5|Household:11.2,Annual,Southeast,SEM,3
TM100012,2025-04-06,2025-04,10,653.28,65.33,Pantry:29.7|Snacks:19.5|Vitamins:13.3|Beauty:15.5|Fresh:0.9|Beverages:16.8|Household:4.3,Annual,Southeast,Email,2
TM100013,2025-04-23,2025-04,5,295.95,59.19,Pantry:35.9|Snacks:18.5|Vitamins:11.1|Beauty:11.5|Fresh:2.8|Beverages:15.2|Household:5.1,Annual,Northeast,Organic,1
TM100014,2025-04-12,2025-04,8,469.33,58.67,Pantry:41.8|Snacks:11.4|Vitamins:8.1|Beauty:8.0|Fresh:4.9|Beverages:14.4|Household:11.4,Annual,West,Paid Social,2
TM100015,2025-04-24,2025-04,6,341.94,56.99,Pantry:35.8|Snacks:17.0|Vitamins:17.5|Beauty:6.2|Fresh:4.5|Beverages:7.8|Household:11.2,Annual,Midwest,Paid Social,1
TM100016,2025-04-02,2025-04,17,1090.78,64.16,Pantry:35.3|Snacks:20.6|Vitamins:13.7|Beauty:6.8|Fresh:5.3|Beverages:13.3|Household:4.9,Annual,Midwest,Referral,5
TM100017,2025-04-08,2025-04,8,513.84,64.23,Pantry:33.7|Snacks:13.7|Vitamins:11.8|Beauty:13.2|Fresh:4.7|Beverages:12.0|Household:10.9,Annual,West,SEM,2
TM100018,2025-04-23,2025-04,3,159.69,53.23,Pantry:40.5|Snacks:20.2|Vitamins:10.8|Beauty:12.2|Fresh:3.8|Beverages:7.8|Household:4.6,Monthly,Northeast,SEM,1
TM100019,2025-04-22,2025-04,7,420.13,60.02,Pantry:41.6|Snacks:17.6|Vitamins:10.3|Beauty:6.8|Fresh:4.6|Beverages:10.1|Household:9.0,Monthly,Northeast,Organic,2
TM100020,2025-04-04,2025-04,4,249.8,62.45,Pantry:41.2|Snacks:10.8|Vitamins:13.2|Beauty:8.8|Fresh:4.1|Beverages:9.7|Household:12.3,Annual,Northeast,Email,1
