evidence_id,control_id,control_description,system_source,collection_method,time_to_collect_hours,collector,status,notes
EV-001,SOX-01,User access review — NetSuite,Lumos,api_export,1.5,Jessica Park,collected,Exported Lumos review campaign for NetSuite. 47 users reviewed. 3 revocations.
EV-002,SOX-01,User access review — Coupa,Lumos,api_export,1.5,Jessica Park,collected,Coupa review campaign. 31 users. 1 revocation (departed contractor).
EV-003,SOX-01,User access review — Anaplan,Lumos,api_export,1.0,Jessica Park,collected,Anaplan review. 12 users. All approved. Small user population.
EV-004,SOX-01,User access review — Snowflake,Lumos,manual_spreadsheet,3.5,Jessica Park,collected,Lumos campaign covered Okta-provisioned users. Had to manually cross-reference 8 direct Snowflake accounts not managed through Okta. Very time-consuming.
EV-005,SOX-02,Privileged access review — Okta admins,Okta,api_export,1.0,Mark Williams,collected,Exported admin role list from Okta admin console. 14 admin accounts. All justified.
EV-006,SOX-02,Privileged access review — NetSuite admins,NetSuite,manual_screenshot,2.0,Mark Williams,collected,NetSuite admin console doesn't have a clean export. Screenshots of admin user list with role details. 6 admins.
EV-007,SOX-02,Privileged access review — GitHub org owners,GitHub,manual_screenshot,1.5,Mark Williams,collected,Exported org owner list from GitHub Enterprise settings. 8 org owners. 1 flagged as no longer needing owner access — downgraded.
EV-008,SOX-02,Privileged access review — AWS IAM,AWS,manual_spreadsheet,4.0,Mark Williams,overdue,Had to manually audit IAM users across 3 AWS accounts. No automated tooling. Incomplete — root account review not documented. Became audit finding.
EV-009,SOX-03,Change management — production deploys,GitHub,manual_screenshot,6.0,Alex Chen,collected,Sampled 25 production PRs. For each: screenshot of Jira ticket showing approval + screenshot of GitHub showing PR review + merge. 50 screenshots total. Extremely tedious.
EV-010,SOX-03,Change management — NetSuite customizations,NetSuite,manual_screenshot,3.0,Alex Chen,collected,NetSuite customization log doesn't export cleanly. Screenshots of 10 customization changes with associated approval tickets.
EV-011,SOX-04,Separation of duties — NetSuite,NetSuite,manual_spreadsheet,4.0,Diana Foster,collected,Exported all NetSuite role assignments. Manually verified no user has both entry and approval permissions. Built matrix in spreadsheet. 89 users checked.
EV-012,SOX-04,Separation of duties — Coupa,Coupa,manual_spreadsheet,2.5,Diana Foster,collected,Coupa approval chain export. Verified separation between requisitioners and approvers. 45 users checked.
EV-013,SOX-04,Separation of duties — test evidence,NetSuite,manual_screenshot,1.5,Diana Foster,collected,Ran SoD test: logged in as entry-only user and attempted to approve a PO. System correctly blocked. Screenshots of attempt and error.
EV-014,SOX-05,Termination access removal — Q4 terminations,Okta,manual_spreadsheet,5.0,Jessica Park,collected,Cross-referenced 18 terminations from Workday against Okta disable timestamps. 16 within 24-hour SLA. 2 exceeded SLA (GitHub issue — see Finding 2).
