date,function,incident_description,severity,category,resolution,policy_gap_identified
2026-01-14,Marketing,AI-generated member insight deck included fabricated statistic claiming "40% of Thrive members are parents" — no source data exists for this claim. Stat was presented to leadership before being caught.,high,hallucination,Removed from deck; manual fact-check added to creative review process,No AI output review policy for externally-shared materials
2026-02-03,Legal,Claude provided case citations during contract research that appeared legitimate but referenced non-existent court opinions. Associate spent 2 hours verifying before discovering fabrication.,medium,hallucination,Mandatory Westlaw verification step added for all AI-assisted legal research,No formal policy requiring verification of AI-generated legal citations
2026-02-18,Finance,Team explored automating bank file reconciliation but project was blocked by legal review — bank files contain sensitive financial data and SOX controls require documented human review chain.,medium,compliance,Project paused pending SOX-compliant AI workflow design,No framework for AI use in SOX-controlled financial processes
2026-03-05,Operations,Supply planning analyst submitted AI-generated demand forecast to leadership without disclosing AI assistance or reviewing the underlying assumptions. Forecast was 12% off actual.,high,quality,Manager review added to forecast approval workflow; verbal policy on AI disclosure,No company-wide AI disclosure or attribution requirements
2026-03-12,Member Services,Sierra chatbot provided incorrect return policy information to 23 members over a 4-hour window after a policy update wasn't synced to Sierra's knowledge base.,high,quality,Emergency knowledge base update; affected members contacted with corrections,No SLA or process for syncing policy changes to AI systems
2026-01-22,Engineering,Developer used Claude to generate infrastructure configuration that inadvertently exposed an internal staging API endpoint. Caught in code review before deployment.,medium,data_privacy,Code review caught the issue; no production impact,No AI-specific security review checklist for generated infrastructure code
2026-02-28,Marketing,Creative team used 4 different AI image generation tools in one week for a single campaign — inconsistent brand aesthetics and $2K in redundant tool subscriptions.,low,cost,Creative director consolidated to 2 approved tools for the team,No centralized AI tool approval or procurement process
2026-03-20,Legal,Paralegal used Claude to draft a vendor agreement. AI included a non-standard liability clause that would have exposed Thrive to uncapped damages. Caught by attorney review.,high,hallucination,All AI-drafted contracts now require attorney review before sending,No policy on AI use in contract drafting — review was informal
2026-01-30,People Ops,Covey AI screening tool rejected 3 qualified candidates based on resume formatting rather than qualifications. Discovered when hiring manager asked why strong referrals weren't progressing.,medium,quality,Manual review added for all AI-rejected candidates from referral pipeline,No audit process for AI-assisted hiring decisions
2026-03-08,Finance,Analyst used Gemini (free tier) to analyze quarterly revenue data by pasting it into the consumer interface. Data included pre-earnings revenue figures.,critical,data_privacy,Immediate policy memo prohibiting use of consumer AI tools for financial data,No policy distinguishing enterprise AI tools from consumer/free tools for sensitive data
2026-02-10,Marketing,AI-generated email campaign copy contained a health claim about a supplement product that hadn't been FDA-reviewed. Caught by compliance before send.,medium,compliance,Health claims review checklist added to AI content workflow,No AI content compliance checklist for regulated product categories
2026-03-25,Tech Ops,Automated offboarding script revoked access for a contractor who was supposed to be extended. Trigger data from People Ops was 2 days stale.,medium,quality,Added 48-hour confirmation hold before executing AI-triggered access changes,No human-in-the-loop requirement for AI-triggered access management
2026-02-22,Member Services,QA team found that 8% of Sierra AI responses to member complaints used inappropriately cheerful tone when members described serious product quality issues (allergic reactions).,medium,quality,Sierra tone calibration updated; added sentiment-aware response routing,No regular tone/empathy audit cadence for AI customer interactions
2026-03-15,Product,PM used Claude to generate competitive analysis that included outdated pricing from competitors (6+ months old). Shared with executive team as current data.,low,hallucination,Added date-verification step to competitive intelligence workflow,No policy on verifying currency of AI-generated market data
2026-04-01,Engineering,Claude Enterprise usage hit $28K in March — projected to reach $360K/yr. No budget approval exists for this scaling. Individual teams adding seats without central oversight.,medium,cost,CFO requested immediate spend review; temporary freeze on new seat additions,No AI tool spend approval thresholds or central procurement for AI tools
