ad_id,ad_name,creative_type,persona_target,hook_text,day,impressions,clicks,CTR,CPA,conversions,frequency,spend
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",1,45200,1582,3.50,18.20,42,1.1,764.40
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",2,47800,1673,3.50,17.90,44,1.3,787.60
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",3,51200,1741,3.40,18.50,41,1.5,758.50
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",4,48900,1614,3.30,19.10,39,1.8,745.00
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",5,52100,1615,3.10,20.40,36,2.1,734.40
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",6,49300,1430,2.90,21.80,33,2.4,719.40
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",7,51800,1399,2.70,22.50,31,2.7,697.50
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",8,48200,1253,2.60,23.80,28,3.0,666.40
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",9,50100,1203,2.40,25.10,26,3.3,652.60
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",10,47600,1095,2.30,26.90,24,3.5,645.60
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",11,49800,1046,2.10,28.20,22,3.7,620.40
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",12,46200,924,2.00,29.80,20,3.9,596.00
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",13,48100,913,1.90,31.40,18,4.1,565.20
AD001,Organic-Pantry-Staples-UGC,UGC,value_seeker,"I saved $300/month switching to Thrive",14,44800,852,1.90,32.50,16,4.3,520.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",1,38100,1143,3.00,22.10,28,1.0,618.80
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",2,39500,1185,3.00,21.80,29,1.2,632.20
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",3,41200,1236,3.00,21.50,30,1.4,645.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",4,40800,1224,3.00,21.60,30,1.6,648.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",5,42300,1269,3.00,21.30,31,1.8,660.30
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",6,41500,1245,3.00,21.40,30,2.0,642.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",7,43100,1293,3.00,21.20,31,2.2,657.20
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",8,42000,1260,3.00,21.50,30,2.4,645.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",9,43800,1314,3.00,21.10,31,2.5,654.10
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",10,41900,1257,3.00,21.40,30,2.7,642.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",11,44200,1326,3.00,21.00,31,2.9,651.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",12,42700,1281,3.00,21.30,30,3.0,639.00
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",13,43500,1305,3.00,21.10,31,3.1,653.10
AD002,Clean-Protein-Value-Static,static,dietary_need,"30g protein. Zero junk. Delivered.",14,44000,1320,3.00,21.20,31,3.2,657.20
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",1,62400,2184,3.50,16.80,52,1.0,873.60
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",2,65100,2278,3.50,16.50,55,1.2,907.50
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",3,68300,2459,3.60,15.90,58,1.4,922.20
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",4,71200,2635,3.70,15.20,62,1.6,942.40
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",5,69800,2583,3.70,15.40,60,1.9,924.00
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",6,72100,2668,3.70,15.10,63,2.1,951.30
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",7,68500,2466,3.60,15.80,57,2.4,900.60
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",8,70200,2457,3.50,16.20,55,2.6,891.00
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",9,66800,2205,3.30,17.10,47,2.9,803.70
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",10,68100,2043,3.00,18.40,42,3.2,772.80
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",11,64500,1806,2.80,19.90,37,3.5,736.30
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",12,66200,1722,2.60,21.30,33,3.7,702.90
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",13,63100,1577,2.50,22.80,28,4.0,638.40
AD003,GLP1-Meal-Prep-Video,video,glp1_health,"Your GLP-1 journey deserves real food",14,65400,1504,2.30,24.10,25,4.2,602.50
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",1,35800,1074,3.00,24.50,22,1.0,539.00
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",2,37200,1116,3.00,24.20,23,1.2,556.60
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",3,38900,1167,3.00,23.80,24,1.4,571.20
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",4,36500,1095,3.00,24.30,23,1.6,558.90
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",5,39100,1173,3.00,23.90,24,1.8,573.60
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",6,37800,1134,3.00,24.10,23,2.0,554.30
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",7,40200,1206,3.00,23.50,25,2.2,587.50
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",8,38400,1152,3.00,24.00,24,2.3,576.00
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",9,41000,1230,3.00,23.60,25,2.5,590.00
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",10,39500,1185,3.00,23.90,24,2.7,573.60
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",11,40800,1224,3.00,23.70,25,2.8,592.50
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",12,38100,1143,3.00,24.20,23,3.0,556.60
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",13,41500,1245,3.00,23.50,25,3.1,587.50
AD004,Sustainability-Mission-Carousel,carousel,sustainability,"Every order plants a tree. Literally.",14,39800,1194,3.00,23.80,24,3.2,571.20
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",1,41200,1442,3.50,19.20,34,1.0,652.80
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",2,43500,1523,3.50,18.80,35,1.3,658.00
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",3,45800,1603,3.50,18.50,36,1.5,666.00
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",4,44100,1499,3.40,19.30,34,1.8,656.20
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",5,46500,1488,3.20,20.10,32,2.1,643.20
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",6,43800,1358,3.10,21.00,30,2.4,630.00
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",7,45200,1311,2.90,22.40,28,2.7,627.20
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",8,42900,1201,2.80,23.50,26,3.0,611.00
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",9,44600,1161,2.60,24.80,24,3.3,595.20
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",10,41800,1045,2.50,26.20,22,3.5,576.40
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",11,43200,994,2.30,27.80,20,3.8,556.00
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",12,40100,882,2.20,29.50,18,4.0,531.00
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",13,42500,850,2.00,31.20,16,4.2,499.20
AD005,Keto-Snack-Box-UGC,UGC,dietary_need,"My keto pantry restock — all under $5/item",14,39800,796,2.00,32.80,14,4.4,459.20
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",1,33500,1005,3.00,23.10,24,1.0,554.40
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",2,35200,1056,3.00,22.80,25,1.2,570.00
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",3,36800,1104,3.00,22.50,26,1.4,585.00
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",4,34900,1047,3.00,22.90,25,1.6,572.50
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",5,37100,1113,3.00,22.60,26,1.8,587.60
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",6,35800,1074,3.00,22.80,25,2.0,570.00
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",7,38200,1146,3.00,22.40,27,2.2,604.80
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",8,36500,1095,3.00,22.70,26,2.4,591.20
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",9,37900,1137,3.00,22.50,27,2.5,607.50
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",10,35600,1068,3.00,22.80,25,2.7,570.00
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",11,38500,1155,3.00,22.30,27,2.9,602.10
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",12,36200,1086,3.00,22.60,26,3.0,585.60
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",13,37800,1134,3.00,22.40,27,3.1,604.80
AD006,Member-Savings-Calculator-Static,static,value_seeker,"The average member saves $32/order",14,35900,1077,3.00,22.70,25,3.2,567.50
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",1,55200,1656,3.00,20.50,35,1.0,717.50
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",2,57800,1734,3.00,20.20,36,1.2,727.20
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",3,59100,1773,3.00,20.00,37,1.4,740.00
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",4,56400,1692,3.00,20.30,36,1.6,730.80
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",5,58900,1767,3.00,19.90,37,1.8,736.30
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",6,57200,1716,3.00,20.10,36,2.0,723.60
