time,type,severity,description,status,assigned_to
06:45,Safety,Medium,Associate slipped on wet floor near dock door 3. No injury reported but near-miss documented. Floor was wet from overnight condensation — dehumidifier in that zone may be malfunctioning.,Open,Safety Lead — Marcus J.
07:30,Quality,High,Pick accuracy audit found 4 mispicks in Zone A2 during first hour. All were substitution errors (wrong flavor/size variants). Associates in A2 are newer hires (week 2). Affected orders caught at Pack QC — none shipped.,Investigating,Quality Mgr — Priya S.
08:15,Equipment,High,Conveyor belt B3 jammed at merge point. Maintenance responded in 6 min. Root cause: damaged roller bearing. Temp fix applied — full replacement needed. Maintenance estimates 2-hour repair window required (must be done during low-volume period).,Temp Fix,Maintenance — Dave R.
09:00,Quality,Low,Two customer orders flagged by Pack QC for incorrect promotional inserts. Spring Clean Eating promo inserts were placed in non-qualifying orders. 12 orders in batch may be affected — spot check in progress.,Open,Pack Supervisor — Amy L.
10:30,Safety,Low,Ergonomic complaint from Pick associate in Zone C1 — reports wrist strain from repetitive scanning. Directed to stretch break protocol. May need workstation rotation if persists.,Closed,Shift Lead — Tony M.
11:45,Equipment,Medium,Label printer at Pack Station P4 producing faded labels. Replaced thermal head — improved but not fully resolved. Using backup printer. Original needs full service.,Workaround,Maintenance — Dave R.
13:00,Quality,Medium,Ship department noticed 3 packages with incorrect weight verification (actual weight >10% off from expected). Investigating whether Pick or Pack error. Packages held for recount.,Investigating,Ship Supervisor — Carlos V.
14:15,Equipment,High,WMS experienced 15-minute system slowdown affecting all Pick zones. IT confirmed database query bottleneck. Throughput dropped ~40% during window. IT applied index optimization — monitoring for recurrence.,Monitoring,IT — Jordan K.
15:00,Safety,High,"Forklift near-miss in receiving dock area. Forklift operator backing out of trailer nearly struck pedestrian (associate taking shortcut through dock area instead of designated walkway). No contact, no injury. Requires incident report and retraining for both parties.",Open,Safety Lead — Marcus J.
15:30,Quality,Low,Shipping label scan audit passed — 99.4% accuracy on outbound packages (target: 99.5%). Marginal miss likely due to the label printer issue earlier. Should resolve with new thermal head.,Noted,Ship Supervisor — Carlos V.
