sku_id,product_name,category,current_week_forecast,4_week_avg,12_week_avg,yoy_same_week,promo_flag,new_item_flag,seasonal_index
THR-1001,Organic Extra Virgin Olive Oil,Pantry Staples,2725,2600,2739,2347,N,N,0.95
THR-1002,Raw Honey 16oz,Pantry Staples,2304,2473,2352,2571,N,N,0.99
THR-1003,Almond Butter Creamy,Pantry Staples,1295,1282,1203,1150,N,N,1.04
THR-1004,Coconut Aminos 8oz,Pantry Staples,413,443,446,499,N,N,1.04
THR-1005,Apple Cider Vinegar 32oz,Pantry Staples,2168,2029,2013,2146,N,N,0.99
THR-1006,Organic Quinoa 2lb,Pantry Staples,3114,1483,1408,1480,Y,N,0.97
THR-1007,Chia Seeds 12oz,Pantry Staples,685,648,686,717,N,N,1.0
THR-1008,Organic Black Beans 15oz,Pantry Staples,592,600,589,506,N,N,1.02
THR-1009,Brown Rice Pasta Penne,Pantry Staples,1437,1318,1342,1178,N,N,1.04
THR-1010,Organic Rolled Oats 32oz,Pantry Staples,946,1036,1100,1094,N,N,0.95
THR-1011,Avocado Oil Spray,Pantry Staples,3241,1013,987,1062,N,Y,1.05
THR-1012,Organic Tahini,Pantry Staples,2628,2431,2388,2154,N,N,0.97
THR-1013,Maple Syrup Grade A 12oz,Pantry Staples,1882,1939,2056,2173,N,N,0.97
THR-1014,Organic Coconut Sugar 16oz,Pantry Staples,531,560,567,521,N,N,0.97
THR-1015,Kalamata Olives 6oz,Pantry Staples,1046,1072,1088,915,N,N,0.96
THR-1016,Organic Tomato Sauce 24oz,Pantry Staples,10252,2136,2113,2145,N,N,0.96
THR-1017,Organic Chickpeas 15oz,Pantry Staples,358,378,400,456,N,N,1.01
THR-1018,Peanut Butter Crunchy 16oz,Pantry Staples,1184,1090,1097,1266,N,N,0.97
THR-1019,Organic Lentils Green 16oz,Pantry Staples,428,419,401,430,N,N,1.05
THR-1020,Flaxseed Meal 16oz,Pantry Staples,554,573,592,530,N,N,1.05
THR-1021,Organic Pinto Beans 15oz,Pantry Staples,292,290,300,326,N,N,0.94
THR-1022,Cashew Butter 12oz,Pantry Staples,699,770,726,849,Y,N,0.99
THR-1023,Organic Marinara 24oz,Pantry Staples,1201,1147,1089,902,N,N,1.04
THR-1024,Hemp Seeds 8oz,Pantry Staples,292,276,278,258,N,N,1.04
THR-1025,Organic Coconut Milk 13oz,Pantry Staples,1561,1640,1757,1995,N,N,1.02
THR-1026,Organic Ghee 9oz,Pantry Staples,661,610,593,486,N,N,0.99
THR-1027,Bone Broth Chicken 32oz,Pantry Staples,1357,1406,1405,1489,N,N,1.02
