incident_id,date,service,severity,alert_type,root_cause_category,resolution_steps,ttd_minutes,ttr_minutes,on_call_engineer,related_alerts_count,recurrence_flag
INC-001,2025-11-02,order-service,P2,high_error_rate,deployment_regression,"Rolled back deploy v2.14.3; verified order flow recovery",3,42,J. Martinez,4,true
INC-002,2025-11-05,payment-gateway,P1,transaction_failure,third_party_outage,"Contacted Stripe support; enabled fallback processor; monitored recovery",1,87,S. Chen,7,false
INC-003,2025-11-08,catalog-search,P3,high_cpu,resource_exhaustion,"Scaled up search pods from 4 to 8; identified runaway query in product feed sync",8,28,A. Okonkwo,2,true
INC-004,2025-11-10,membership-api,P3,elevated_latency,database_contention,"Killed long-running analytics query on members replica; latency normalized",12,19,J. Martinez,1,true
INC-005,2025-11-12,fulfillment-router,P2,queue_depth,downstream_dependency,"Warehouse-api was throttling; increased rate limit; drained backlog",5,55,R. Patel,3,false
INC-006,2025-11-15,order-service,P3,high_error_rate,deployment_regression,"Rolled back deploy v2.15.0; same config drift as INC-001",2,38,A. Okonkwo,4,true
INC-007,2025-11-17,catalog-search,P4,high_cpu,resource_exhaustion,"Auto-scaled resolved; no action needed — alert was noise",0,5,S. Chen,1,true
INC-008,2025-11-19,notification-service,P3,delivery_delay,queue_saturation,"Increased SQS consumer concurrency from 10 to 25; backlog cleared in 8 min",15,22,J. Martinez,2,false
INC-009,2025-11-22,payment-gateway,P2,elevated_latency,database_contention,"Connection pool exhausted; restarted payment-db primary; tuned pool size from 50 to 100",4,63,R. Patel,5,true
INC-010,2025-11-24,inventory-sync,P3,data_mismatch,integration_error,"Warehouse feed sent duplicate SKUs; deduplicated and resynced; added idempotency check",20,45,A. Okonkwo,1,false
INC-011,2025-11-27,order-service,P2,high_error_rate,deployment_regression,"Rolled back v2.15.2; third regression in 30 days — escalated to eng manager",3,35,S. Chen,4,true
INC-012,2025-11-29,membership-api,P3,elevated_latency,database_contention,"Same analytics query pattern as INC-004; killed query; filed ticket to move to dedicated replica",10,15,J. Martinez,1,true
INC-013,2025-12-01,api-gateway,P2,high_5xx,configuration_drift,"Nginx upstream timeout set to 5s after deploy; should be 30s; corrected and reloaded",2,18,R. Patel,6,false
INC-014,2025-12-03,catalog-search,P3,high_cpu,resource_exhaustion,"Product feed sync running during peak hours; rescheduled to 2am UTC",7,25,A. Okonkwo,2,true
INC-015,2025-12-05,recommendation-engine,P4,model_staleness,scheduled_job_failure,"ML model refresh cron had wrong timezone; fixed crontab; manually triggered refresh",45,12,S. Chen,0,false
INC-016,2025-12-08,payment-gateway,P1,transaction_failure,deployment_regression,"New fraud check module had null pointer on guest checkout; hotfixed and deployed",2,52,J. Martinez,8,false
INC-017,2025-12-10,order-service,P3,elevated_latency,database_contention,"Orders table lock contention during bulk import; paused import; added row-level locking",6,30,R. Patel,2,true
INC-018,2025-12-12,warehouse-api,P2,health_check_failure,infrastructure,"EKS node ran out of disk; pod evicted; node replaced by ASG; service recovered",3,25,A. Okonkwo,3,false
INC-019,2025-12-14,membership-api,P3,elevated_latency,database_contention,"Analytics query again — third occurrence; emergency: blocked query user on replica",8,12,S. Chen,1,true
INC-020,2025-12-17,catalog-search,P4,high_cpu,resource_exhaustion,"Auto-scaled handled it; alert was purely informational — no action taken",0,3,J. Martinez,1,true
INC-021,2025-12-19,notification-service,P2,delivery_delay,third_party_outage,"SendGrid degraded; switched to SES fallback; notifications resumed in 15 min",5,38,R. Patel,3,false
INC-022,2025-12-22,promotion-engine,P3,calculation_error,deployment_regression,"Holiday promo stacking logic broken in v1.8.0; rolled back to v1.7.9",10,42,A. Okonkwo,2,false
