brand_id,brand_name,category,subcategory,product_count,avg_price,member_favorite,new_to_thrive,dietary_tags,margin_tier
B001,Purely Rooted,Pantry,Nut Butters,6,11.99,Yes,No,"keto, paleo, vegan",High
B002,GreenVale Foods,Pantry,Pasta Sauce,8,6.49,Yes,No,"vegan, gluten-free",Medium
B003,NutraHarvest,Snacks,Bars,12,2.99,No,No,"high-protein",Low
B004,Coastal Kelp Co,Snacks,Seaweed,4,4.29,No,Yes,"keto, vegan, GLP-1",High
B005,Heritage Mills,Breakfast,Baking Mixes,5,7.99,Yes,No,"organic",Medium
B006,Sage Creek Ranch,Meat & Seafood,Jerky,4,8.99,Yes,No,"paleo, keto, GLP-1",High
B007,BrightLeaf Teas,Beverages,Tea,10,6.99,No,No,"organic, vegan",Medium
B008,Terra Grains,Snacks,Crackers,6,4.99,No,No,"organic, vegan",Medium
B009,Pacific Bloom,Dairy Alternatives,Yogurt,5,5.49,No,Yes,"vegan, paleo",Medium
B010,Golden Spoon,Pantry,Broths,4,8.49,Yes,No,"paleo, keto, GLP-1",High
B011,Wild Basin Farms,Produce,Fresh Greens,8,4.99,No,Yes,"organic, vegan, GLP-1",Low
B012,Suncoast Naturals,Supplements,Vitamins,15,18.99,Yes,No,"vegan",High
B013,Mesa Verde Snacks,Snacks,Chips,7,3.99,Yes,No,"gluten-free, vegan",Medium
B014,Northwind Oats,Breakfast,Cereal,5,6.49,No,No,"organic, vegan",Low
B015,Copper Kettle,Beverages,Kombucha,6,3.49,Yes,No,"vegan, GLP-1",Medium
B016,Honeytree Farm,Pantry,Honey & Sweeteners,4,12.99,No,No,"organic, paleo",High
B017,Fieldstone Bakery,Bakery,Bread,5,5.99,No,Yes,"organic, vegan",Low
B018,Primal Provisions,Meat & Seafood,Frozen Meat,6,14.99,Yes,No,"paleo, keto, GLP-1",High
B019,Clearwater Springs,Beverages,Water,3,1.99,No,No,"",Low
B020,Jade Mountain,Pantry,Asian Sauces,8,5.99,No,Yes,"vegan, gluten-free",Medium
B021,Blue Heron Farms,Produce,Frozen Fruit,6,5.99,No,No,"organic, vegan, paleo",Medium
B022,Sunridge Collective,Snacks,Trail Mix,5,7.99,Yes,No,"keto, paleo, vegan",High
B023,Verdant Kitchen,Pantry,Cooking Oils,4,9.99,No,No,"organic, vegan, keto",High
B024,Silver Creek Dairy,Dairy,Cheese,8,6.99,Yes,No,"keto",Medium
B025,Nourish & Bloom,Baby & Kids,Baby Food,10,3.49,No,Yes,"organic, vegan",Medium
B026,Canyon Crest,Snacks,Nuts & Seeds,6,8.99,Yes,No,"keto, paleo, vegan, GLP-1",High
B027,Ember & Oak,Household,Cleaning,8,5.99,No,No,"",Medium
B028,Redwood Wellness,Supplements,Protein Powder,4,29.99,No,No,"keto, paleo, vegan",High
B029,Tidepool Foods,Pantry,Canned Fish,5,4.99,No,No,"paleo, keto, GLP-1",Medium
