sku_id,product_name,category,wk4_forecast,wk4_actual,wk3_forecast,wk3_actual,wk2_forecast,wk2_actual,wk1_forecast,wk1_actual,avg_mape_pct,bias_direction
THR-1001,Organic Extra Virgin Olive Oil,Pantry Staples,2763,2487,2482,2025,2592,2338,2772,2555,13.3,Over
THR-1002,Raw Honey 16oz,Pantry Staples,2315,1961,2218,2062,2164,1870,2285,1961,14.5,Over
THR-1003,Almond Butter Creamy,Pantry Staples,1282,1160,1290,1158,1252,1011,1137,965,15.9,Over
THR-1004,Coconut Aminos 8oz,Pantry Staples,433,395,464,425,407,369,449,377,12.0,Over
THR-1005,Apple Cider Vinegar 32oz,Pantry Staples,2124,1781,1824,1557,1919,1604,2191,2079,15.4,Over
THR-1006,Organic Quinoa 2lb,Pantry Staples,1307,1076,1476,1316,1477,1289,1431,1232,16.1,Over
THR-1007,Chia Seeds 12oz,Pantry Staples,675,547,669,648,689,664,735,589,13.8,Over
THR-1008,Organic Black Beans 15oz,Pantry Staples,583,560,633,534,589,489,637,603,12.2,Over
THR-1009,Brown Rice Pasta Penne,Pantry Staples,1455,1391,1368,1208,1237,1065,1472,1379,10.2,Over
THR-1010,Organic Rolled Oats 32oz,Pantry Staples,1157,1076,1018,896,1110,938,1181,1029,13.6,Over
THR-1011,Avocado Oil Spray,Pantry Staples,967,884,962,916,977,822,900,723,14.4,Over
THR-1012,Organic Tahini,Pantry Staples,2559,2078,2262,2066,2251,1851,2596,2328,16.4,Over
THR-1013,Maple Syrup Grade A 12oz,Pantry Staples,2019,1911,1872,1705,2116,1714,2149,2011,11.4,Over
THR-1014,Organic Coconut Sugar 16oz,Pantry Staples,614,537,607,542,516,500,605,583,8.3,Over
THR-1015,Kalamata Olives 6oz,Pantry Staples,1193,1008,1149,1008,1071,1031,1195,1068,12.0,Over
THR-1016,Organic Tomato Sauce 24oz,Pantry Staples,2217,1795,2148,1902,2262,1870,115,1877,37.8,Under
THR-1017,Organic Chickpeas 15oz,Pantry Staples,407,368,393,353,401,384,376,346,8.8,Over
THR-1018,Peanut Butter Crunchy 16oz,Pantry Staples,989,895,1110,906,1105,979,1016,873,15.6,Over
THR-1019,Organic Lentils Green 16oz,Pantry Staples,440,400,361,338,384,350,436,358,12.1,Over
THR-1020,Flaxseed Meal 16oz,Pantry Staples,614,580,592,498,640,517,607,571,13.7,Over
THR-1021,Organic Pinto Beans 15oz,Pantry Staples,295,236,274,260,324,289,320,287,13.5,Over
THR-1022,Cashew Butter 12oz,Pantry Staples,705,645,750,645,734,696,794,736,9.7,Over
THR-1023,Organic Marinara 24oz,Pantry Staples,1052,1008,1154,1092,1156,977,1151,941,12.7,Over
THR-1024,Hemp Seeds 8oz,Pantry Staples,262,210,260,222,298,287,265,240,14.0,Over
THR-1025,Organic Coconut Milk 13oz,Pantry Staples,1785,1726,1594,1436,1702,1589,1734,1677,6.2,Over
THR-1026,Organic Ghee 9oz,Pantry Staples,597,550,621,567,576,467,612,523,14.6,Over
THR-1027,Bone Broth Chicken 32oz,Pantry Staples,1460,1305,1318,1203,1371,1271,1313,1177,10.2,Over
THR-1028,Organic Cacao Powder 8oz,Pantry Staples,1770,1549,1680,1479,1926,1801,1665,1356,14.4,Over
THR-1029,Cassava Flour 2lb,Pantry Staples,2367,1952,2028,1961,2280,2121,2211,2101,9.4,Over
THR-1030,Organic Almond Flour 16oz,Pantry Staples,2601,2421,2282,1990,2316,2229,2485,2009,12.4,Over
THR-1031,Plantain Chips Sea Salt,Snacks,1147,1026,1098,1019,1126,1056,1229,1072,10.2,Over
THR-1032,Organic Beef Jerky 3oz,Snacks,2258,2104,2356,1980,2335,2151,2238,1918,12.9,Over
THR-1033,Dark Chocolate Almonds 4oz,Snacks,2253,1980,2127,2002,2280,2122,2540,2040,13.0,Over
THR-1034,Rice Cakes Lightly Salted,Snacks,2437,2259,2500,2256,2339,1958,2446,1968,15.6,Over
THR-1035,Kale Chips Original,Snacks,1506,1436,1523,1390,1371,1196,1605,1333,12.4,Over
THR-1036,Trail Mix Omega 10oz,Snacks,1263,1064,1085,871,1194,1158,1149,1046,14.1,Over
THR-1037,Coconut Clusters Cacao,Snacks,2856,2400,2774,2273,3038,2670,2653,2288,17.7,Over
THR-1038,Seaweed Snack Wasabi,Snacks,2354,2008,2693,2593,2547,2347,2380,2183,9.7,Over
THR-1039,Protein Bar Chocolate PB,Snacks,2724,2198,2706,2469,2457,2236,2426,2114,14.5,Over
