alert_id,timestamp,service_name,alert_type,severity,duration_minutes,resolved_by,resolution_action,on_call_engineer,related_incident_id
ALT-0001,2026-03-17T04:07:51Z,warehouse-api,memory,P3,7,auto,Pod restarted automatically,,
ALT-0002,2026-03-17T13:19:24Z,shipping-calculator,memory,P3,2,auto,Cache flushed,,
ALT-0003,2026-03-17T13:22:34Z,product-ingestion,disk,P3,5,auto,Volume expanded,,
ALT-0004,2026-03-17T18:19:43Z,billing-service,cpu,P3,5,auto,Pods auto-scaled,,
ALT-0005,2026-03-17T20:05:23Z,order-service,cpu,P2,14,manual,Runaway process killed,Alex Rivera,
ALT-0006,2026-03-17T22:08:28Z,catalog-search,memory,P4,28,escalated,JVM heap increased,Jordan Kim,
ALT-0007,2026-03-18T09:38:07Z,fulfillment-router,connection_pool,P3,50,manual,Pool size increased,Priya Patel,
ALT-0008,2026-03-18T11:17:08Z,product-ingestion,disk,P4,3,auto,Volume expanded,,
ALT-0009,2026-03-18T12:54:54Z,user-profile-service,cpu,P3,5,auto,Manual scaling applied,,
ALT-0010,2026-03-18T18:20:20Z,warehouse-api,connection_pool,P3,4,auto,Pool size increased,,
ALT-0011,2026-03-19T08:42:43Z,catalog-search,memory,P1,99,escalated,JVM heap increased,Sam Nguyen,
ALT-0012,2026-03-19T14:05:00Z,payment-gateway,error_rate,P3,146,manual,Config fix deployed,Alex Rivera,
ALT-0013,2026-03-19T14:12:00Z,shipping-calculator,latency,P4,2,auto,Slow query killed,,
ALT-0014,2026-03-19T14:18:00Z,warehouse-api,connection_pool,P4,11,manual,Idle connections reaped,Priya Patel,
ALT-0015,2026-03-19T18:49:37Z,catalog-search,cpu,P3,160,auto,Waited for batch job to complete,,
ALT-0016,2026-03-19T22:32:45Z,fulfillment-router,latency,P2,19,manual,Upstream dependency recovered,Marcus Chen,
ALT-0017,2026-03-20T01:39:11Z,billing-service,error_rate,P3,3,auto,Rate limiting applied,,
ALT-0018,2026-03-20T05:06:55Z,membership-api,memory,P4,11,escalated,OOM-killed pod replaced by scheduler,Priya Patel,
ALT-0019,2026-03-20T14:24:30Z,notification-service,latency,P4,7,manual,Circuit breaker tripped and reset,Alex Rivera,
ALT-0020,2026-03-20T14:26:18Z,catalog-search,latency,P3,66,escalated,Upstream dependency recovered,Sam Nguyen,
ALT-0021,2026-03-20T15:49:47Z,product-ingestion,disk,P4,226,manual,Log rotation triggered,Priya Patel,
ALT-0022,2026-03-20T17:34:40Z,fraud-detection,error_rate,P3,15,auto,Upstream service recovered,,
ALT-0023,2026-03-20T18:42:59Z,warehouse-api,disk,P4,5,auto,Log rotation triggered,,
ALT-0024,2026-03-20T23:25:39Z,user-auth,latency,P3,1,auto,Upstream dependency recovered,,
ALT-0025,2026-03-21T03:14:34Z,membership-api,connection_pool,P2,106,escalated,Service restarted,Alex Rivera,
ALT-0026,2026-03-21T10:18:18Z,warehouse-api,latency,P3,3,auto,Slow query killed,,
ALT-0027,2026-03-21T17:48:43Z,recommendation-engine,latency,P4,24,escalated,Upstream dependency recovered,Taylor Brooks,
ALT-0028,2026-03-21T18:39:54Z,warehouse-api,cpu,P4,8,auto,Traffic shifted to healthy instances,,
ALT-0029,2026-03-21T21:05:57Z,recommendation-engine,latency,P3,1,auto,CDN cache warmed,,
ALT-0030,2026-03-22T05:47:04Z,user-auth,latency,P4,1,auto,Connection pool expanded,,
ALT-0031,2026-03-22T07:45:01Z,inventory-api,cpu,P3,4,auto,Waited for batch job to complete,,
ALT-0032,2026-03-22T10:59:00Z,shipping-calculator,cpu,P3,3,auto,Traffic shifted to healthy instances,,
ALT-0033,2026-03-22T11:02:00Z,inventory-api,cpu,P3,2,auto,Manual scaling applied,,
ALT-0034,2026-03-22T11:02:00Z,product-ingestion,disk,P4,2,auto,Volume expanded,,
ALT-0035,2026-03-22T11:13:00Z,shipping-calculator,memory,P3,45,manual,OOM-killed pod replaced by scheduler,Alex Rivera,
ALT-0036,2026-03-22T11:28:24Z,shipping-calculator,cpu,P4,5,auto,Manual scaling applied,,
ALT-0037,2026-03-22T21:02:21Z,user-auth,error_rate,P3,98,auto,Rate limiting applied,,
ALT-0038,2026-03-22T21:23:34Z,inventory-api,latency,P4,141,manual,Connection pool expanded,Taylor Brooks,
ALT-0039,2026-03-23T00:39:29Z,inventory-api,error_rate,P3,2,auto,Rate limiting applied,,
ALT-0040,2026-03-23T03:04:07Z,order-service,cpu,P4,3,auto,Manual scaling applied,,
ALT-0041,2026-03-24T00:34:25Z,notification-service,connection_pool,P4,2,auto,Idle connections reaped,,
ALT-0042,2026-03-24T02:00:44Z,notification-service,cpu,P4,5,auto,Manual scaling applied,,
ALT-0043,2026-03-24T05:39:38Z,notification-service,error_rate,P4,5,auto,Bad deployment rolled back,,
ALT-0044,2026-03-24T07:11:51Z,fraud-detection,latency,P3,69,manual,Connection pool expanded,Taylor Brooks,
ALT-0045,2026-03-24T09:12:55Z,shipping-calculator,latency,P2,36,auto,Connection pool expanded,,
ALT-0046,2026-03-24T09:50:14Z,shipping-calculator,disk,P4,1,auto,Old snapshots pruned,,
ALT-0047,2026-03-24T14:22:25Z,product-ingestion,cpu,P4,5,auto,Manual scaling applied,,
ALT-0048,2026-03-24T18:03:48Z,user-auth,disk,P4,247,manual,Temp files cleaned,Alex Rivera,
ALT-0049,2026-03-24T23:42:29Z,inventory-api,memory,P4,4,auto,JVM heap increased,,
ALT-0050,2026-03-25T03:29:18Z,payment-gateway,error_rate,P4,1,auto,Rate limiting applied,,
ALT-0051,2026-03-25T10:49:50Z,user-auth,error_rate,P3,47,auto,Feature flag toggled off,,
ALT-0052,2026-03-25T12:41:57Z,notification-service,cpu,P4,50,auto,Pods auto-scaled,,
ALT-0053,2026-03-25T15:06:00Z,notification-service,latency,P4,14,manual,Connection pool expanded,Alex Rivera,
ALT-0054,2026-03-25T15:21:00Z,membership-api,error_rate,P4,45,manual,Rate limiting applied,Sam Nguyen,
ALT-0055,2026-03-25T15:30:00Z,notification-service,connection_pool,P4,15,auto,Slow queries killed,,
ALT-0056,2026-03-25T19:21:10Z,billing-service,connection_pool,P3,48,auto,Connection timeout reduced,,
ALT-0057,2026-03-25T23:17:08Z,notification-service,connection_pool,P4,2,auto,Slow queries killed,,
ALT-0058,2026-03-26T00:56:15Z,payment-gateway,cpu,P2,23,manual,Manual scaling applied,Alex Rivera,
ALT-0059,2026-03-26T01:39:28Z,fulfillment-router,latency,P3,13,manual,Circuit breaker tripped and reset,Sam Nguyen,
ALT-0060,2026-03-26T03:47:45Z,warehouse-api,connection_pool,P3,4,auto,Service restarted,,
ALT-0061,2026-03-26T16:16:19Z,recommendation-engine,disk,P3,2,auto,Volume expanded,,
ALT-0062,2026-03-26T18:21:28Z,fraud-detection,error_rate,P3,3,auto,Rate limiting applied,,
ALT-0063,2026-03-26T23:18:36Z,user-auth,error_rate,P3,5,auto,Feature flag toggled off,,
ALT-0064,2026-03-27T09:02:01Z,product-ingestion,disk,P4,2,auto,Volume expanded,,
ALT-0065,2026-03-27T10:31:12Z,order-service,latency,P4,15,auto,CDN cache warmed,,
ALT-0066,2026-03-27T18:09:00Z,user-auth,latency,P2,44,escalated,Slow query killed,Jordan Kim,
ALT-0067,2026-03-27T18:41:34Z,notification-service,disk,P4,11,auto,Log rotation triggered,,
ALT-0068,2026-03-28T05:38:22Z,warehouse-api,cpu,P3,2,auto,Waited for batch job to complete,,
