event_name,week_start,weekly_unique_users,total_events,conversion_rate_to_next_step,wow_change_pct
search_executed,2026-02-17,89200,234500,0.68,-0.2
search_executed,2026-02-24,90100,238200,0.69,1.0
search_executed,2026-03-03,91400,241800,0.68,1.4
search_executed,2026-03-10,92000,243500,0.69,0.7
search_executed,2026-03-17,91800,242100,0.68,-0.2
search_executed,2026-03-24,93500,249700,0.70,1.9
search_executed,2026-03-31,94200,251400,0.69,0.7
search_executed,2026-04-07,95100,254800,0.70,1.0
filter_applied,2026-02-17,35600,62400,0.42,0.8
filter_applied,2026-02-24,36200,64100,0.43,1.7
filter_applied,2026-03-03,37100,66800,0.43,2.5
filter_applied,2026-03-10,38400,69200,0.44,3.5
filter_applied,2026-03-17,39800,72600,0.44,3.6
filter_applied,2026-03-24,41200,75900,0.45,3.5
filter_applied,2026-03-31,42800,79400,0.45,3.9
filter_applied,2026-04-07,44500,83100,0.46,4.0
filter_applied_glp1,2026-02-17,2100,4800,0.38,5.2
filter_applied_glp1,2026-02-24,2500,5600,0.39,19.0
filter_applied_glp1,2026-03-03,3100,7200,0.40,24.0
filter_applied_glp1,2026-03-10,3800,8900,0.41,22.6
filter_applied_glp1,2026-03-17,4600,10800,0.42,21.1
filter_applied_glp1,2026-03-24,5400,12900,0.43,17.4
filter_applied_glp1,2026-03-31,6200,15100,0.44,14.8
filter_applied_glp1,2026-04-07,7100,17400,0.44,14.5
add_to_cart,2026-02-17,62400,189300,0.54,0.3
add_to_cart,2026-02-24,63100,192400,0.54,1.1
add_to_cart,2026-03-03,63800,194100,0.55,1.1
add_to_cart,2026-03-10,64200,195800,0.54,0.6
add_to_cart,2026-03-17,64500,196200,0.55,0.5
add_to_cart,2026-03-24,65400,200100,0.55,1.4
add_to_cart,2026-03-31,65900,201800,0.54,0.8
add_to_cart,2026-04-07,66300,203500,0.55,0.6
checkout_started,2026-02-17,33700,38200,0.82,0.1
checkout_started,2026-02-24,34100,38800,0.83,1.2
checkout_started,2026-03-03,35100,39900,0.83,2.9
checkout_started,2026-03-10,34700,39400,0.82,-1.1
checkout_started,2026-03-17,35400,40200,0.83,2.0
checkout_started,2026-03-24,36000,41100,0.83,1.7
checkout_started,2026-03-31,35600,40500,0.82,-1.1
checkout_started,2026-04-07,36200,41300,0.83,1.7
checkout_completed,2026-02-17,27600,31300,1.00,-0.4
checkout_completed,2026-02-24,28300,32100,1.00,2.5
checkout_completed,2026-03-03,29100,33000,1.00,2.8
checkout_completed,2026-03-10,28400,32200,1.00,-2.4
checkout_completed,2026-03-17,29400,33400,1.00,3.5
checkout_completed,2026-03-24,29900,34100,1.00,1.7
checkout_completed,2026-03-31,29200,33100,1.00,-2.3
checkout_completed,2026-04-07,30100,34200,1.00,3.1
search_to_cart,2026-02-17,21400,48700,0.24,0.4
search_to_cart,2026-02-24,21800,49600,0.24,1.9
search_to_cart,2026-03-03,22300,51200,0.25,2.3
search_to_cart,2026-03-10,22500,51800,0.25,0.9
search_to_cart,2026-03-17,22100,50400,0.24,-1.8
search_to_cart,2026-03-24,22800,52400,0.24,3.2
search_to_cart,2026-03-31,19800,44600,0.21,-12.1
search_to_cart,2026-04-07,20400,46100,0.22,3.0
category_page_viewed,2026-02-17,41200,128400,0.31,0.5
category_page_viewed,2026-02-24,41800,130100,0.32,1.5
category_page_viewed,2026-03-03,42400,132600,0.32,1.4
category_page_viewed,2026-03-10,42900,134200,0.32,1.2
category_page_viewed,2026-03-17,42600,133100,0.31,-0.7
category_page_viewed,2026-03-24,43500,136800,0.32,2.1
category_page_viewed,2026-03-31,44100,139200,0.33,1.4
category_page_viewed,2026-04-07,44800,141500,0.33,1.6
membership_cancelled,2026-02-17,1840,1840,1.00,1.2
membership_cancelled,2026-02-24,1810,1810,1.00,-1.6
membership_cancelled,2026-03-03,1790,1790,1.00,-1.1
membership_cancelled,2026-03-10,1850,1850,1.00,3.4
membership_cancelled,2026-03-17,1820,1820,1.00,-1.6
membership_cancelled,2026-03-24,1870,1870,1.00,2.7
membership_cancelled,2026-03-31,1910,1910,1.00,2.1
membership_cancelled,2026-04-07,1950,1950,1.00,2.1
mobile_checkout_started,2026-02-17,21900,24800,0.78,0.3
mobile_checkout_started,2026-02-24,22200,25200,0.79,1.4
mobile_checkout_started,2026-03-03,22800,25900,0.79,2.7
mobile_checkout_started,2026-03-10,22500,25500,0.78,-1.3
mobile_checkout_started,2026-03-17,23000,26100,0.79,2.2
mobile_checkout_started,2026-03-24,23400,26700,0.79,1.7
mobile_checkout_started,2026-03-31,22100,25100,0.74,-5.6
mobile_checkout_started,2026-04-07,22600,25700,0.75,2.3
mobile_checkout_completed,2026-02-17,17100,19300,1.00,-0.2
mobile_checkout_completed,2026-02-24,17500,19800,1.00,2.3
mobile_checkout_completed,2026-03-03,18000,20400,1.00,2.9
mobile_checkout_completed,2026-03-10,17600,19900,1.00,-2.2
mobile_checkout_completed,2026-03-17,18200,20600,1.00,3.4
mobile_checkout_completed,2026-03-24,18500,21000,1.00,1.6
mobile_checkout_completed,2026-03-31,16400,18600,1.00,-11.4
mobile_checkout_completed,2026-04-07,17000,19200,1.00,3.7
product_detail_viewed,2026-02-17,78500,412000,0.15,0.2
product_detail_viewed,2026-02-24,79200,418300,0.15,0.9
product_detail_viewed,2026-03-03,80100,423600,0.15,1.1
product_detail_viewed,2026-03-10,80800,427100,0.15,0.9
product_detail_viewed,2026-03-17,80400,424800,0.15,-0.5
product_detail_viewed,2026-03-24,82100,435200,0.15,2.1
product_detail_viewed,2026-03-31,82800,438900,0.15,0.9
product_detail_viewed,2026-04-07,83500,443100,0.15,0.8
subscription_started,2026-02-17,3200,3200,1.00,2.1
subscription_started,2026-02-24,3300,3300,1.00,3.1
subscription_started,2026-03-03,3400,3400,1.00,3.0
subscription_started,2026-03-10,3500,3500,1.00,2.9
subscription_started,2026-03-17,3550,3550,1.00,1.4
subscription_started,2026-03-24,3650,3650,1.00,2.8
subscription_started,2026-03-31,3700,3700,1.00,1.4
subscription_started,2026-04-07,3800,3800,1.00,2.7
reorder_item_added,2026-02-17,18200,54600,0.34,0.6
reorder_item_added,2026-02-24,18500,55800,0.35,1.6
reorder_item_added,2026-03-03,18900,57100,0.35,2.2
reorder_item_added,2026-03-10,19100,57800,0.35,1.1
reorder_item_added,2026-03-17,19000,57400,0.34,-0.5
reorder_item_added,2026-03-24,19400,58900,0.35,2.1
reorder_item_added,2026-03-31,19700,59800,0.35,1.5
reorder_item_added,2026-04-07,20000,60900,0.36,1.5
dietary_quiz_completed,2026-02-17,0,0,0.00,0.0
dietary_quiz_completed,2026-02-24,0,0,0.00,0.0
dietary_quiz_completed,2026-03-03,0,0,0.00,0.0
dietary_quiz_completed,2026-03-10,0,0,0.00,0.0
dietary_quiz_completed,2026-03-17,0,0,0.00,0.0
dietary_quiz_completed,2026-03-24,0,0,0.00,0.0
dietary_quiz_completed,2026-03-31,0,0,0.00,0.0
dietary_quiz_completed,2026-04-07,0,0,0.00,0.0
app_rating_prompt_shown,2026-02-17,12400,12400,0.18,0.3
app_rating_prompt_shown,2026-02-24,12600,12600,0.18,1.6
app_rating_prompt_shown,2026-03-03,12900,12900,0.19,2.4
app_rating_prompt_shown,2026-03-10,13000,13000,0.18,0.8
app_rating_prompt_shown,2026-03-17,12800,12800,0.17,-1.5
app_rating_prompt_shown,2026-03-24,13200,13200,0.17,3.1
app_rating_prompt_shown,2026-03-31,13400,13400,0.16,1.5
app_rating_prompt_shown,2026-04-07,13100,13100,0.15,-2.2
wishlist_item_added,2026-02-17,15600,34200,0.22,1.1
